id;document_id;page_no;text;book_id
1;almighty amused chapel;3403;../fake-data/blob/hipster.txt;1
2;svelte pliers;21796;../fake-data/blob/hipster.txt;2
3;fabricate programme nor;17293;../fake-data/blob/hipster.txt;3
4;pishXXXXXX;4970;../fake-data/blob/hipster.txt;4
5;woot preside vaguely;5418;../fake-data/blob/hipster.txt;5
6;unbearably thoroughly;21889;../fake-data/blob/hipster.txt;6
7;outside reassemble because;10524;../fake-data/blob/hipster.txt;7
8;neat gruesome;22108;../fake-data/blob/hipster.txt;8
9;mmm supposing;10495;../fake-data/blob/hipster.txt;9
10;satirize uh-huh;14626;../fake-data/blob/hipster.txt;10
