id;started_at;finished_at;status;files_seen;files_parsed;files_failed
1;2025-11-07T16:04:19;2025-11-07T08:58:24;ew conclude;29995;17743;15578
2;2025-11-08T01:12:47;2025-11-08T03:37:35;ugh tenderly;21893;18722;30859
3;2025-11-07T19:40:27;2025-11-07T21:11:57;drat happily sundae;2335;26368;13679
4;2025-11-07T11:36:09;2025-11-07T21:38:15;vice;6376;28421;5736
5;2025-11-07T04:06:39;2025-11-08T00:16:45;or;23824;20159;6956
6;2025-11-07T07:05:57;2025-11-07T12:55:35;marvelous;1367;20687;11667
7;2025-11-08T00:19:14;2025-11-08T02:39:19;punctually egg;12112;5549;12085
8;2025-11-08T03:47:53;2025-11-07T07:19:11;than complication;12728;13995;19848
9;2025-11-07T09:44:24;2025-11-07T09:48:23;futon shakily brr;10493;17338;11267
10;2025-11-07T14:29:27;2025-11-07T10:05:37;ironclad;20844;20905;24560
